REPORTING_DATE,ACCOUNT_STATUS,nps_group,responses
2025-03-30,arrears,Detractor,33
2025-03-30,arrears,Passive,12
2025-03-30,arrears,Promoter,20
2025-03-30,arrears,Unknown,3
2025-03-30,closed,Detractor,2
2025-03-30,closed,Passive,5
2025-03-30,closed,Promoter,1
2025-03-30,current,Detractor,112
2025-03-30,current,Passive,53
2025-03-30,current,Promoter,147
2025-03-30,current,Unknown,8
2025-03-30,default,Detractor,10
2025-03-30,default,Passive,8
2025-03-30,default,Promoter,9
2025-03-30,default,Unknown,3
2025-06-30,arrears,Detractor,72
2025-06-30,arrears,Passive,18
2025-06-30,arrears,Promoter,68
2025-06-30,arrears,Unknown,6
2025-06-30,closed,Detractor,11
2025-06-30,closed,Passive,11
2025-06-30,closed,Promoter,28
2025-06-30,closed,Unknown,3
2025-06-30,current,Detractor,424
2025-06-30,current,Passive,316
2025-06-30,current,Promoter,578
2025-06-30,current,Unknown,80
2025-06-30,default,Detractor,21
2025-06-30,default,Passive,4
2025-06-30,default,Promoter,19
2025-06-30,default,Unknown,1
2025-09-30,arrears,Detractor,190
2025-09-30,arrears,Passive,61
2025-09-30,arrears,Promoter,137
2025-09-30,arrears,Unknown,23
2025-09-30,closed,Detractor,125
2025-09-30,closed,Passive,80
2025-09-30,closed,Promoter,191
2025-09-30,closed,Unknown,10
2025-09-30,current,Detractor,624
2025-09-30,current,Passive,406
2025-09-30,current,Promoter,711
2025-09-30,current,Unknown,74
2025-09-30,default,Detractor,124
2025-09-30,default,Passive,19
2025-09-30,default,Promoter,62
2025-09-30,default,Unknown,5
2025-12-30,arrears,Detractor,103
2025-12-30,arrears,Passive,51
2025-12-30,arrears,Promoter,108
2025-12-30,arrears,Unknown,6
2025-12-30,closed,Detractor,13
2025-12-30,closed,Passive,12
2025-12-30,closed,Promoter,23
2025-12-30,current,Detractor,276
2025-12-30,current,Passive,164
2025-12-30,current,Promoter,319
2025-12-30,current,Unknown,24
2025-12-30,default,Detractor,47
2025-12-30,default,Passive,4
2025-12-30,default,Promoter,12
2025-12-30,default,Unknown,4
