Submission ID,Respondent ID,Submitted at,Loan Id,"Using a scale from 0 (not likely) to 10 (very likely), how likely are you to recommend MoPhones to friends or family?",What is the main reason for your score?,What is one thing we could do to improve your experience with us?,Are you happy with the quality and performance of your MoPhones device?,Are you happy with the service and support provided by MoPhones?,Have you ever experienced a delay in your payment reflecting in your Mophones account?,Have you ever had difficulty getting assistance from MoPhones customer support when needed?,(If Yes) – Please describe the challenge you faced and how we can improve your experience.,Have you experienced any battery-related issues with your MoPhones device?,Have you used the MoPhones app (MoApp) to manage your account or make payments?,Which communication channel do you prefer when contacting MoPhones for inquiries or support?,Have you ever had your phone lock despite making a payment on time?,Any other Feedback?,nps_score,nps_group,LOAN_ID,REPORTING_DATE,delta_days,ACCOUNT_STATUS,DAYS_PAST_DUE,ARREARS_PROXY,BALANCE,AGE_BAND,INCOME_BAND,GENDER
0Q156vQ,rjyyPMN,2025/09/19 18:17,reczVLijV8d5kc3l3,7,,,Yes,Yes,No,No,Am okay with this device,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,Yes the front camera is linking i don't know where ink is coming from,7,Passive,reczVLijV8d5kc3l3,2025/09/30,11,current,0,2320,86000,,"100,000–149,999",Male
0Q156vQ,rjyyPMN,2025/09/19 18:17,reczVLijV8d5kc3l3,7,,,Yes,Yes,No,No,Am okay with this device,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,Yes the front camera is linking i don't know where ink is coming from,7,Passive,reczVLijV8d5kc3l3,2025/09/30,11,current,0,2320,86000,,"100,000–149,999",Male
0Q156vQ,rjyyPMN,2025/09/19 18:17,reczVLijV8d5kc3l3,7,,,Yes,Yes,No,No,Am okay with this device,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,Yes the front camera is linking i don't know where ink is coming from,7,Passive,reczVLijV8d5kc3l3,2025/09/30,11,current,0,2320,86000,,"100,000–149,999",Male
0Q156vQ,rjyyPMN,2025/09/19 18:17,reczVLijV8d5kc3l3,7,,,Yes,Yes,No,No,Am okay with this device,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,Yes the front camera is linking i don't know where ink is coming from,7,Passive,reczVLijV8d5kc3l3,2025/09/30,11,current,0,2320,86000,,"100,000–149,999",Male
0Q8R2eN,dJkgjo,2025/05/18 10:13,recjby8S4ke8zH5bj,5,,,No,Yes,No,No,I need one ui7,No,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,No,I need one ui7,5,Detractor,recjby8S4ke8zH5bj,2025/06/30,43,current,0,0,41580,,"30,000–49,999",Female
0Q8RWKy,GOQqVk,2025/05/18 09:23,recZupjyz7ItnYfbj,8,,,Yes,Yes,Yes,Yes,No need,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,No,8,Passive,recZupjyz7ItnYfbj,2025/06/30,43,current,0,0,49600,,,
0QAx1bB,9qNbkZX,2025/10/16 06:49,recvwP9QKG7eWup5U,5,"The customers service is nice , and the branding","Providing invoices and receipts. The balance is supposed to be known to make the customer to work towards it 
 This is to avoid confusion",,,,,,,,,,,5,Detractor,recvwP9QKG7eWup5U,2025/12/30,75,current,0,0,43680,,"10,000–19,999",
0QBAbeZ,Jjx0VR,2025/05/07 19:57,rec46zWg0IDkqq4Vs,7,,,Yes,Yes,,,,,,,,,7,Passive,rec46zWg0IDkqq4Vs,2025/03/30,38,default,227,0,88740,,,
0QBj0Z9,00k8K6,2025/10/07 19:32,recaBIIFrc7Z3yjVn,,,,Yes,Yes,,,,,,,,,,Unknown,recaBIIFrc7Z3yjVn,2025/09/30,7,closed,0,0,0,,,
0QBj2B9,yA1DoX,2025/05/06 12:17,recjIN34SL5h8tPAK,10,,,Yes,Yes,No,No,,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,,10,Promoter,recjIN34SL5h8tPAK,2025/03/30,37,current,0,0,22620,,"100,000–149,999",Male
0QBj2B9,yA1DoX,2025/05/06 12:17,recjIN34SL5h8tPAK,10,,,Yes,Yes,No,No,,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,,10,Promoter,recjIN34SL5h8tPAK,2025/03/30,37,current,0,0,22620,,"100,000–149,999",Male
0QBokVy,WbZMgk,2025/05/06 17:27,recWAkAXazxrEN1f0,1,,,No,No,Yes,Yes,"Delayed reflection of the device.
 My device has issues, customer service could not promise a solution",No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,"My gadget is spoiled on the screen. And the problem points out to fake screen, not mishandling",1,Detractor,recWAkAXazxrEN1f0,2025/03/30,37,current,0,130,61610,,"50,000–99,999",Male
0QDWkVA,5BBq2bP,2025/09/26 08:40,rechnPgKpUB5GPf03,5,,,Yes,No,No,No,My battery 🔋,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,,5,Detractor,rechnPgKpUB5GPf03,2025/09/30,4,current,0,0,32300,,"10,000–19,999",Male
0QDWkVA,5BBq2bP,2025/09/26 08:40,rechnPgKpUB5GPf03,5,,,Yes,No,No,No,My battery 🔋,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,,5,Detractor,rechnPgKpUB5GPf03,2025/09/30,4,current,0,0,32300,,"10,000–19,999",Male
0QDY1DA,D445PVX,2025/09/25 15:43,recjpCnabjV64gnkV,9,,,Yes,Yes,,,,,,,,,9,Promoter,recjpCnabjV64gnkV,2025/09/30,5,closed,0,0,0,,,
0QDzPx0,RGGL7Gv,2025/09/25 12:39,recbu9d06yUvwpIzx,10,,,Yes,Yes,No,No,,No,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,No,The app is good but it keeps hanging and logging me out everytime,10,Promoter,recbu9d06yUvwpIzx,2025/09/30,5,current,0,0,33600,,"20,000–29,999",Male
0QDzZWQ,Zjjl8oA,2025/09/25 13:11,recTNwLvEeEaa4TWb,5,,,Yes,Yes,No,No,Battery performance it deplets very fast,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Battery challenge,5,Detractor,recTNwLvEeEaa4TWb,2025/09/30,5,current,0,1500,72450,,,Male
