PREV_DATE,CURR_DATE,PREV_STATUS,CURR_STATUS,transitions,prev_total,roll_rate
2025-01-01,2025-01-01,arrears,arrears,51,51,1.0
2025-01-01,2025-01-01,closed,closed,20,20,1.0
2025-01-01,2025-01-01,current,current,245,245,1.0
2025-01-01,2025-01-01,default,default,17,17,1.0
2025-01-01,2025-03-30,arrears,arrears,292,1255,0.23266932270916335
2025-01-01,2025-03-30,arrears,current,21,1255,0.016733067729083666
2025-01-01,2025-03-30,arrears,default,942,1255,0.750597609561753
2025-01-01,2025-03-30,closed,closed,1265,1265,1.0
2025-01-01,2025-03-30,current,arrears,611,3902,0.1565863659661712
2025-01-01,2025-03-30,current,closed,482,3902,0.12352639671963096
2025-01-01,2025-03-30,current,current,2809,3902,0.7198872373141978
2025-01-01,2025-03-30,default,arrears,1,2513,0.0003979307600477517
2025-01-01,2025-03-30,default,default,2512,2513,0.9996020692399522
2025-03-30,2025-03-30,arrears,arrears,167,167,1.0
2025-03-30,2025-03-30,closed,closed,30,30,1.0
2025-03-30,2025-03-30,current,current,485,485,1.0
2025-03-30,2025-03-30,default,default,59,59,1.0
2025-03-30,2025-06-30,arrears,arrears,307,1414,0.21711456859971712
2025-03-30,2025-06-30,arrears,current,69,1414,0.048797736916548796
2025-03-30,2025-06-30,arrears,default,1038,1414,0.7340876944837341
2025-03-30,2025-06-30,closed,closed,1924,1924,1.0
2025-03-30,2025-06-30,current,arrears,551,4232,0.1301984877126654
2025-03-30,2025-06-30,current,closed,784,4232,0.18525519848771266
2025-03-30,2025-06-30,current,current,2880,4232,0.6805293005671077
2025-03-30,2025-06-30,current,default,17,4232,0.004017013232514178
2025-03-30,2025-06-30,default,arrears,1,3454,0.00028951939779965256
2025-03-30,2025-06-30,default,default,3453,3454,0.9997104806022004
2025-06-30,2025-06-30,arrears,arrears,686,686,1.0
2025-06-30,2025-06-30,closed,closed,101,101,1.0
2025-06-30,2025-06-30,current,current,2278,2278,1.0
2025-06-30,2025-06-30,default,default,168,168,1.0
2025-06-30,2025-09-30,arrears,arrears,327,1525,0.21442622950819673
2025-06-30,2025-09-30,arrears,current,101,1525,0.06622950819672131
2025-06-30,2025-09-30,arrears,default,1097,1525,0.719344262295082
2025-06-30,2025-09-30,closed,closed,2882,2882,1.0
2025-06-30,2025-09-30,current,arrears,828,4974,0.16646562123039807
2025-06-30,2025-09-30,current,closed,998,4974,0.20064334539605952
2025-06-30,2025-09-30,current,current,3123,4974,0.6278648974668275
2025-06-30,2025-09-30,current,default,25,4974,0.005026135906714918
2025-06-30,2025-09-30,default,arrears,3,4510,0.0006651884700665188
2025-06-30,2025-09-30,default,current,1,4510,0.00022172949002217295
2025-06-30,2025-09-30,default,default,4506,4510,0.9991130820399113
2025-09-30,2025-09-30,arrears,arrears,949,949,1.0
2025-09-30,2025-09-30,closed,closed,208,208,1.0
2025-09-30,2025-09-30,current,current,2663,2663,1.0
2025-09-30,2025-09-30,default,default,626,626,1.0
2025-09-30,2025-12-30,arrears,arrears,535,1781,0.300393037619315
2025-09-30,2025-12-30,arrears,current,142,1781,0.07973048848961257
2025-09-30,2025-12-30,arrears,default,1104,1781,0.6198764738910725
2025-09-30,2025-12-30,closed,closed,4048,4048,1.0
2025-09-30,2025-12-30,current,arrears,1096,5401,0.20292538418811332
2025-09-30,2025-12-30,current,closed,1182,5401,0.21884836141455286
2025-09-30,2025-12-30,current,current,3101,5401,0.574152934641733
2025-09-30,2025-12-30,current,default,22,5401,0.004073319755600814
2025-09-30,2025-12-30,default,arrears,4,5634,0.0007099751508697196
2025-09-30,2025-12-30,default,default,5630,5634,0.9992900248491303
2025-12-30,2025-12-30,arrears,arrears,1555,1555,1.0
2025-12-30,2025-12-30,closed,closed,485,485,1.0
2025-12-30,2025-12-30,current,current,3557,3557,1.0
2025-12-30,2025-12-30,default,default,1188,1188,1.0
