REPORTING_DATE,ORIG_MONTH,loans,current_accounts,arrears_accounts,default_accounts,closed_accounts,current_rate,arrears_rate,default_rate,closed_rate
2025-01-01,2023-02,14,1,0,6,7,0.07142857142857142,0.0,0.42857142857142855,0.5
2025-01-01,2023-03,15,0,0,5,10,0.0,0.0,0.3333333333333333,0.6666666666666666
2025-01-01,2023-04,25,1,0,13,11,0.04,0.0,0.52,0.44
2025-01-01,2023-05,56,1,0,29,26,0.017857142857142856,0.0,0.5178571428571429,0.4642857142857143
2025-01-01,2023-06,106,2,0,57,47,0.018867924528301886,0.0,0.5377358490566038,0.44339622641509435
2025-01-01,2023-07,99,5,0,49,45,0.050505050505050504,0.0,0.494949494949495,0.45454545454545453
2025-01-01,2023-08,144,5,0,74,65,0.034722222222222224,0.0,0.5138888888888888,0.4513888888888889
2025-01-01,2023-09,287,5,0,152,130,0.017421602787456445,0.0,0.5296167247386759,0.4529616724738676
2025-01-01,2023-10,303,8,0,165,134,0.026402640264026403,0.0,0.5445544554455446,0.44224422442244227
2025-01-01,2023-11,304,21,2,152,129,0.06907894736842106,0.006578947368421052,0.5,0.4243421052631579
2025-01-01,2023-12,409,20,2,198,189,0.0488997555012225,0.004889975550122249,0.4841075794621027,0.4621026894865526
2025-01-01,2024-01,238,68,7,90,73,0.2857142857142857,0.029411764705882353,0.37815126050420167,0.3067226890756303
2025-01-01,2024-02,325,136,21,138,36,0.41846153846153844,0.06461538461538462,0.4246153846153846,0.11076923076923077
2025-01-01,2024-03,441,187,29,201,25,0.42403628117913833,0.06575963718820861,0.4557823129251701,0.05668934240362812
2025-01-01,2024-04,525,221,54,222,29,0.42095238095238097,0.10285714285714286,0.4228571428571429,0.05523809523809524
2025-01-01,2024-05,572,249,87,201,35,0.4353146853146853,0.1520979020979021,0.3513986013986014,0.06118881118881119
2025-01-01,2024-06,650,290,121,211,30,0.4461538461538462,0.18615384615384614,0.32461538461538464,0.046153846153846156
2025-01-01,2024-07,839,419,152,248,27,0.499404052443385,0.18116805721096543,0.29558998808104886,0.03218116805721097
2025-01-01,2024-08,716,336,159,200,24,0.4692737430167598,0.22206703910614525,0.27932960893854747,0.0335195530726257
2025-01-01,2024-09,612,318,141,119,36,0.5196078431372549,0.23039215686274508,0.19444444444444445,0.058823529411764705
2025-01-01,2024-10,655,400,222,0,45,0.6106870229007634,0.33893129770992364,0.0,0.06870229007633588
2025-01-01,2024-11,739,600,194,0,58,0.8119079837618404,0.2625169147496617,0.0,0.07848443843031123
2025-01-01,2024-12,861,854,115,0,74,0.991869918699187,0.13356562137049943,0.0,0.0859465737514518
2025-03-30,2023-02,15,0,0,7,8,0.0,0.0,0.4666666666666667,0.5333333333333333
2025-03-30,2023-03,14,0,0,4,10,0.0,0.0,0.2857142857142857,0.7142857142857143
2025-03-30,2023-04,25,1,0,13,11,0.04,0.0,0.52,0.44
2025-03-30,2023-05,64,0,0,32,32,0.0,0.0,0.5,0.5
2025-03-30,2023-06,98,0,0,54,44,0.0,0.0,0.5510204081632653,0.4489795918367347
2025-03-30,2023-07,104,4,0,52,48,0.038461538461538464,0.0,0.5,0.46153846153846156
2025-03-30,2023-08,147,5,0,74,68,0.034013605442176874,0.0,0.5034013605442177,0.46258503401360546
2025-03-30,2023-09,279,3,0,149,127,0.010752688172043012,0.0,0.5340501792114696,0.4551971326164875
2025-03-30,2023-10,311,4,0,171,140,0.012861736334405145,0.0,0.5498392282958199,0.45016077170418006
2025-03-30,2023-11,317,15,0,159,143,0.0473186119873817,0.0,0.501577287066246,0.45110410094637227
2025-03-30,2023-12,388,9,0,189,190,0.023195876288659795,0.0,0.48711340206185566,0.4896907216494845
2025-03-30,2024-01,252,14,1,109,134,0.05555555555555555,0.003968253968253968,0.43253968253968256,0.5317460317460317
2025-03-30,2024-02,336,19,2,155,160,0.05654761904761905,0.005952380952380952,0.46130952380952384,0.47619047619047616
2025-03-30,2024-03,424,45,10,220,150,0.10613207547169812,0.02358490566037736,0.5188679245283019,0.35377358490566035
2025-03-30,2024-04,542,151,17,271,104,0.2785977859778598,0.03136531365313653,0.5,0.1918819188191882
2025-03-30,2024-05,573,213,34,275,51,0.3717277486910995,0.059336823734729496,0.4799301919720768,0.08900523560209424
2025-03-30,2024-06,672,269,60,299,46,0.40029761904761907,0.08928571428571429,0.44494047619047616,0.06845238095238096
2025-03-30,2024-07,821,371,95,330,32,0.4518879415347138,0.11571254567600488,0.40194884287454324,0.0389768574908648
2025-03-30,2024-08,695,270,89,307,32,0.38848920863309355,0.12805755395683452,0.441726618705036,0.0460431654676259
2025-03-30,2024-09,624,267,90,228,41,0.42788461538461536,0.14423076923076922,0.36538461538461536,0.06570512820512821
2025-03-30,2024-10,660,314,120,187,51,0.47575757575757577,0.18181818181818182,0.2833333333333333,0.07727272727272727
2025-03-30,2024-11,722,464,157,152,64,0.6426592797783933,0.21745152354570638,0.21052631578947367,0.0886426592797784
2025-03-30,2024-12,852,576,298,76,82,0.676056338028169,0.34976525821596244,0.0892018779342723,0.09624413145539906
2025-03-30,2025-01,647,467,258,0,60,0.7217928902627512,0.3987635239567233,0.0,0.09273570324574962
2025-03-30,2025-02,640,516,217,0,55,0.80625,0.3390625,0.0,0.0859375
2025-03-30,2025-03,802,720,133,0,71,0.8977556109725686,0.1658354114713217,0.0,0.0885286783042394
2025-06-30,2023-02,14,0,0,6,8,0.0,0.0,0.42857142857142855,0.5714285714285714
2025-06-30,2023-03,15,0,0,5,10,0.0,0.0,0.3333333333333333,0.6666666666666666
2025-06-30,2023-04,25,1,0,13,11,0.04,0.0,0.52,0.44
2025-06-30,2023-05,56,0,0,29,27,0.0,0.0,0.5178571428571429,0.48214285714285715
2025-06-30,2023-06,106,0,0,57,49,0.0,0.0,0.5377358490566038,0.46226415094339623
2025-06-30,2023-07,99,4,0,49,46,0.04040404040404041,0.0,0.494949494949495,0.46464646464646464
2025-06-30,2023-08,144,5,0,74,65,0.034722222222222224,0.0,0.5138888888888888,0.4513888888888889
2025-06-30,2023-09,287,3,0,152,132,0.010452961672473868,0.0,0.5296167247386759,0.45993031358885017
2025-06-30,2023-10,303,2,0,165,140,0.006600660066006601,0.0,0.5445544554455446,0.46204620462046203
2025-06-30,2023-11,304,7,0,154,143,0.023026315789473683,0.0,0.506578947368421,0.47039473684210525
2025-06-30,2023-12,409,7,0,200,202,0.017114914425427872,0.0,0.4889975550122249,0.4938875305623472
2025-06-30,2024-01,238,7,0,97,134,0.029411764705882353,0.0,0.40756302521008403,0.5630252100840336
2025-06-30,2024-02,325,11,0,161,159,0.033846153846153845,0.0,0.49538461538461537,0.48923076923076925
2025-06-30,2024-03,441,22,0,234,186,0.049886621315192746,0.0,0.5306122448979592,0.4217687074829932
2025-06-30,2024-04,525,31,1,282,212,0.05904761904761905,0.0019047619047619048,0.5371428571428571,0.4038095238095238
2025-06-30,2024-05,572,33,5,298,236,0.057692307692307696,0.008741258741258742,0.5209790209790209,0.4125874125874126
2025-06-30,2024-06,650,58,14,341,239,0.08923076923076922,0.021538461538461538,0.5246153846153846,0.3676923076923077
2025-06-30,2024-07,839,240,31,411,164,0.2860548271752086,0.03694874851013111,0.4898688915375447,0.19547079856972585
2025-06-30,2024-08,716,243,32,388,56,0.3393854748603352,0.0446927374301676,0.5418994413407822,0.0782122905027933
2025-06-30,2024-09,612,221,44,300,49,0.3611111111111111,0.0718954248366013,0.49019607843137253,0.08006535947712418
2025-06-30,2024-10,655,259,63,282,63,0.39541984732824426,0.09618320610687023,0.4305343511450382,0.09618320610687023
2025-06-30,2024-11,739,400,81,284,87,0.5412719891745602,0.10960757780784844,0.38430311231393777,0.11772665764546685
2025-06-30,2024-12,861,492,166,294,91,0.5714285714285714,0.19279907084785133,0.34146341463414637,0.10569105691056911
2025-06-30,2025-01,611,356,154,159,71,0.5826513911620295,0.2520458265139116,0.2602291325695581,0.11620294599018004
2025-06-30,2025-02,651,403,169,157,78,0.6190476190476191,0.25960061443932414,0.2411674347158218,0.11981566820276497
2025-06-30,2025-03,828,526,250,85,91,0.6352657004830918,0.30193236714975846,0.10265700483091787,0.10990338164251208
2025-06-30,2025-04,858,946,389,1,104,1.1025641025641026,0.4533799533799534,0.0011655011655011655,0.12121212121212122
2025-06-30,2025-05,1051,1647,582,0,61,1.5670789724072312,0.5537583254043768,0.0,0.058039961941008564
2025-06-30,2025-06,957,1328,230,0,69,1.387669801462905,0.24033437826541273,0.0,0.07210031347962383
2025-09-30,2023-02,14,0,0,6,8,0.0,0.0,0.42857142857142855,0.5714285714285714
2025-09-30,2023-03,15,0,0,5,10,0.0,0.0,0.3333333333333333,0.6666666666666666
2025-09-30,2023-04,25,1,0,13,11,0.04,0.0,0.52,0.44
2025-09-30,2023-05,56,0,0,29,27,0.0,0.0,0.5178571428571429,0.48214285714285715
2025-09-30,2023-06,106,0,0,57,49,0.0,0.0,0.5377358490566038,0.46226415094339623
2025-09-30,2023-07,99,4,0,49,46,0.04040404040404041,0.0,0.494949494949495,0.46464646464646464
2025-09-30,2023-08,144,4,0,74,66,0.027777777777777776,0.0,0.5138888888888888,0.4583333333333333
2025-09-30,2023-09,287,0,0,152,135,0.0,0.0,0.5296167247386759,0.47038327526132406
2025-09-30,2023-10,303,1,0,165,141,0.0033003300330033004,0.0,0.5445544554455446,0.46534653465346537
2025-09-30,2023-11,304,3,0,154,147,0.009868421052631578,0.0,0.506578947368421,0.48355263157894735
2025-09-30,2023-12,409,5,0,200,204,0.012224938875305624,0.0,0.4889975550122249,0.49877750611246946
2025-09-30,2024-01,238,3,0,97,138,0.012605042016806723,0.0,0.40756302521008403,0.5798319327731093
2025-09-30,2024-02,325,1,0,161,169,0.003076923076923077,0.0,0.49538461538461537,0.52
2025-09-30,2024-03,441,11,0,234,197,0.024943310657596373,0.0,0.5306122448979592,0.4467120181405896
2025-09-30,2024-04,525,12,0,283,231,0.022857142857142857,0.0,0.539047619047619,0.44
2025-09-30,2024-05,572,14,0,303,255,0.024475524475524476,0.0,0.5297202797202797,0.4458041958041958
2025-09-30,2024-06,650,22,0,355,275,0.033846153846153845,0.0,0.5461538461538461,0.4230769230769231
2025-09-30,2024-07,839,29,1,441,375,0.03456495828367104,0.0011918951132300357,0.5256257449344458,0.4469606674612634
2025-09-30,2024-08,716,20,5,419,275,0.027932960893854747,0.006983240223463687,0.585195530726257,0.3840782122905028
2025-09-30,2024-09,612,25,13,338,238,0.04084967320261438,0.021241830065359478,0.5522875816993464,0.3888888888888889
2025-09-30,2024-10,655,138,19,340,170,0.21068702290076335,0.02900763358778626,0.5190839694656488,0.2595419847328244
2025-09-30,2024-11,739,330,47,351,124,0.4465493910690122,0.06359945872801083,0.4749661705006766,0.16779431664411368
2025-09-30,2024-12,861,431,89,414,109,0.5005807200929152,0.10336817653890824,0.4808362369337979,0.12659698025551683
2025-09-30,2025-01,611,285,97,274,84,0.4664484451718494,0.15875613747954173,0.44844517184942717,0.13747954173486088
